Dataset,Solver,WarmStart,C,Rho,Objective_Base,Objective_Screen,Objective_p-value,Accuracy_Base,Accuracy_Screen,Accuracy_p-value,AUC_Base,AUC_Screen,AUC_p-value,F1_Base,F1_Screen,F1_p-value
phishing,CVXOPT,True,0.01,0.0,11.1938 ± 0.2006,11.1938 ± 0.2007,2.0226158757663694e-68,0.9389 ± 0.0048,0.9389 ± 0.0048,0.0,0.9857 ± 0.0019,0.9857 ± 0.0019,1.8836260627246953e-92,0.9458 ± 0.0042,0.9458 ± 0.0042,0.0
phishing,CVXOPT,True,0.01,0.05,12.0520 ± 0.2120,12.0520 ± 0.2120,5.971781926047397e-67,0.9390 ± 0.0056,0.9390 ± 0.0056,0.0,0.9855 ± 0.0020,0.9855 ± 0.0020,2.897583848316798e-90,0.9458 ± 0.0049,0.9458 ± 0.0049,0.0
phishing,CVXOPT,True,0.05,0.0,51.3812 ± 1.0282,51.3812 ± 1.0283,3.6980529133008635e-49,0.9393 ± 0.0047,0.9393 ± 0.0048,6.027312127991959e-37,0.9860 ± 0.0019,0.9860 ± 0.0019,5.216339367945411e-86,0.9461 ± 0.0040,0.9461 ± 0.0041,5.234899330062384e-38
phishing,CVXOPT,True,0.05,0.05,55.9543 ± 1.0950,55.9544 ± 1.0951,1.195841908989785e-52,0.9390 ± 0.0055,0.9390 ± 0.0055,1.0170039629748322e-53,0.9858 ± 0.0019,0.9858 ± 0.0019,3.228499105616201e-92,0.9457 ± 0.0046,0.9457 ± 0.0046,2.706171969990745e-54
phishing,CVXOPT,True,0.1,0.0,101.1738 ± 2.0828,101.1738 ± 2.0828,3.203826109720904e-99,0.9390 ± 0.0046,0.9390 ± 0.0046,0.0,0.9861 ± 0.0018,0.9861 ± 0.0018,2.9761293178596254e-89,0.9458 ± 0.0040,0.9458 ± 0.0040,0.0
phishing,CVXOPT,True,0.1,0.05,110.5589 ± 2.2064,110.5589 ± 2.2064,4.854992994461039e-95,0.9392 ± 0.0057,0.9392 ± 0.0057,0.0,0.9858 ± 0.0019,0.9858 ± 0.0019,2.601350065108577e-88,0.9459 ± 0.0047,0.9459 ± 0.0047,0.0
phishing,SCS,False,0.01,0.0,11.1938 ± 0.2006,11.1938 ± 0.2006,1.9961394125215919e-72,0.9389 ± 0.0048,0.9389 ± 0.0048,1.0176580689191706e-53,0.9857 ± 0.0019,0.9857 ± 0.0019,4.995530135535836e-93,0.9458 ± 0.0042,0.9458 ± 0.0042,3.6909414705203453e-56
phishing,SCS,False,0.01,0.05,12.0520 ± 0.2120,12.0520 ± 0.2120,3.158774191692446e-75,0.9390 ± 0.0056,0.9390 ± 0.0056,0.0,0.9855 ± 0.0020,0.9855 ± 0.0020,7.913931557745137e-95,0.9458 ± 0.0049,0.9458 ± 0.0049,0.0
phishing,SCS,False,0.05,0.0,51.3812 ± 1.0282,51.3812 ± 1.0283,7.151993851492401e-50,0.9393 ± 0.0047,0.9393 ± 0.0047,5.894605156199884e-45,0.9860 ± 0.0019,0.9860 ± 0.0019,6.181259410915638e-85,0.9461 ± 0.0040,0.9461 ± 0.0040,5.975732166644827e-47
phishing,SCS,False,0.05,0.05,55.9543 ± 1.0950,55.9544 ± 1.0951,1.2989570738893467e-52,0.9390 ± 0.0055,0.9390 ± 0.0055,1.0170039629748322e-53,0.9858 ± 0.0019,0.9858 ± 0.0019,1.3465131774324432e-89,0.9457 ± 0.0046,0.9457 ± 0.0046,2.706171969990745e-54
phishing,SCS,False,0.1,0.0,101.1738 ± 2.0828,101.1738 ± 2.0828,1.1246141721178744e-100,0.9390 ± 0.0046,0.9390 ± 0.0046,0.0,0.9861 ± 0.0018,0.9861 ± 0.0018,3.087025666265092e-84,0.9458 ± 0.0040,0.9458 ± 0.0040,0.0
phishing,SCS,False,0.1,0.05,110.5589 ± 2.2064,110.5589 ± 2.2064,5.588470335322043e-97,0.9392 ± 0.0057,0.9392 ± 0.0057,0.0,0.9858 ± 0.0019,0.9858 ± 0.0019,1.9391366773359784e-93,0.9459 ± 0.0047,0.9459 ± 0.0047,0.0
phishing,SCS,True,0.01,0.0,11.1938 ± 0.2006,11.1938 ± 0.2007,2.015152180664306e-68,0.9389 ± 0.0048,0.9389 ± 0.0048,0.0,0.9857 ± 0.0019,0.9857 ± 0.0019,2.199801356936449e-92,0.9458 ± 0.0042,0.9458 ± 0.0042,0.0
phishing,SCS,True,0.01,0.05,12.0520 ± 0.2120,12.0520 ± 0.2120,3.505356059956295e-72,0.9390 ± 0.0056,0.9390 ± 0.0056,0.0,0.9855 ± 0.0020,0.9855 ± 0.0020,5.886688334662966e-92,0.9458 ± 0.0049,0.9458 ± 0.0049,0.0
phishing,SCS,True,0.05,0.0,51.3812 ± 1.0282,51.3812 ± 1.0283,1.7327700253121952e-49,0.9393 ± 0.0047,0.9393 ± 0.0048,6.027312127991959e-37,0.9860 ± 0.0019,0.9860 ± 0.0019,5.751936104904778e-85,0.9461 ± 0.0040,0.9461 ± 0.0041,5.234899330062384e-38
phishing,SCS,True,0.05,0.05,55.9543 ± 1.0950,55.9544 ± 1.0951,1.1917769509576291e-52,0.9390 ± 0.0055,0.9390 ± 0.0055,1.0170039629748322e-53,0.9858 ± 0.0019,0.9858 ± 0.0019,1.2939221432533532e-91,0.9457 ± 0.0046,0.9457 ± 0.0046,2.706171969990745e-54
phishing,SCS,True,0.1,0.0,101.1738 ± 2.0828,101.1738 ± 2.0828,7.491009361099745e-99,0.9390 ± 0.0046,0.9390 ± 0.0046,0.0,0.9861 ± 0.0018,0.9861 ± 0.0018,1.2498071151950926e-87,0.9458 ± 0.0040,0.9458 ± 0.0040,0.0
phishing,SCS,True,0.1,0.05,110.5589 ± 2.2064,110.5589 ± 2.2064,6.663590020875296e-95,0.9392 ± 0.0057,0.9392 ± 0.0057,0.0,0.9858 ± 0.0019,0.9859 ± 0.0019,2.2077247759704124e-88,0.9459 ± 0.0047,0.9459 ± 0.0047,0.0
svmguide1,CVXOPT,False,0.01,0.0,9.0140 ± 0.0832,9.0141 ± 0.0832,8.716419249621274e-76,0.8392 ± 0.0136,0.8391 ± 0.0135,2.2983162658837986e-27,0.9296 ± 0.0099,0.9295 ± 0.0099,1.4749432348113144e-52,0.8781 ± 0.0103,0.8781 ± 0.0104,1.5531468672710779e-31
svmguide1,CVXOPT,False,0.01,0.05,9.7315 ± 0.0893,9.7315 ± 0.0893,6.803217761092013e-83,0.8316 ± 0.0139,0.8317 ± 0.0139,3.359686228690464e-26,0.9265 ± 0.0107,0.9265 ± 0.0107,1.4997266206408494e-51,0.8745 ± 0.0104,0.8743 ± 0.0104,1.1595391493278894e-21
svmguide1,CVXOPT,False,0.05,0.0,39.0539 ± 0.4329,39.0539 ± 0.4329,5.89110454362902e-57,0.8586 ± 0.0164,0.8584 ± 0.0164,1.1222264345211564e-16,0.9359 ± 0.0082,0.9359 ± 0.0082,7.897448201106796e-55,0.8916 ± 0.0113,0.8915 ± 0.0113,3.095395093306796e-23
svmguide1,CVXOPT,False,0.05,0.05,43.6601 ± 0.4460,43.6601 ± 0.4460,4.405397082077496e-57,0.8562 ± 0.0173,0.8563 ± 0.0172,1.3836423311215042e-37,0.9351 ± 0.0092,0.9351 ± 0.0092,5.945356103545997e-60,0.8902 ± 0.0122,0.8902 ± 0.0122,1.5849159440900353e-42
svmguide1,CVXOPT,False,0.1,0.0,75.1814 ± 0.9216,75.1815 ± 0.9215,2.427248580478075e-50,0.8576 ± 0.0144,0.8575 ± 0.0145,8.803209081959587e-29,0.9362 ± 0.0079,0.9362 ± 0.0079,5.4862080096020525e-65,0.8912 ± 0.0108,0.8912 ± 0.0108,3.432284924805201e-47
svmguide1,CVXOPT,False,0.1,0.05,85.1821 ± 0.9159,85.1822 ± 0.9159,1.163720643788217e-52,0.8582 ± 0.0170,0.8573 ± 0.0174,1.0518117389385322e-05,0.9361 ± 0.0088,0.9361 ± 0.0088,4.2596087635698474e-69,0.8912 ± 0.0126,0.8907 ± 0.0128,5.769178937720884e-11
svmguide1,CVXOPT,True,0.01,0.0,9.0140 ± 0.0832,9.0140 ± 0.0832,2.1233483061813783e-76,0.8392 ± 0.0136,0.8393 ± 0.0137,8.803209081968475e-29,0.9296 ± 0.0099,0.9296 ± 0.0099,1.2761632296634029e-51,0.8781 ± 0.0103,0.8782 ± 0.0104,1.985200329122788e-32
svmguide1,CVXOPT,True,0.01,0.05,9.7315 ± 0.0893,9.7315 ± 0.0893,8.022787676798133e-85,0.8317 ± 0.0139,0.8317 ± 0.0138,1.3836423311215042e-37,0.9265 ± 0.0107,0.9264 ± 0.0107,1.2362524813767508e-51,0.8744 ± 0.0104,0.8742 ± 0.0104,1.2251640517338268e-25
svmguide1,CVXOPT,True,0.05,0.0,39.0539 ± 0.4329,39.0539 ± 0.4329,1.1353743823830135e-66,0.8586 ± 0.0164,0.8587 ± 0.0163,1.3836423311215042e-37,0.9359 ± 0.0082,0.9359 ± 0.0082,9.694041463933328e-61,0.8916 ± 0.0113,0.8917 ± 0.0113,1.1561450282002145e-39
svmguide1,CVXOPT,True,0.05,0.05,43.6601 ± 0.4460,43.6602 ± 0.4460,7.075434213343985e-54,0.8562 ± 0.0173,0.8562 ± 0.0173,3.643026846124786e-33,0.9351 ± 0.0092,0.9352 ± 0.0092,1.573451501095893e-58,0.8902 ± 0.0122,0.8902 ± 0.0122,1.0176642807495161e-36
