Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.05,0.0,Screening,4,39.40550569,0.85436893,0.93626147,0.8907767,0.57186235,0.16749382,0.00495172,625,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,4,44.1375555,0.85760518,0.93708716,0.89268293,0.0,0.58022356,0.0,2675,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,4,44.13755522,0.85760518,0.93708716,0.89268293,0.53087045,0.15065169,0.00332737,825,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,4,75.79762939,0.85598706,0.93661697,0.89159562,0.0,1.1516068,0.0,5750,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,4,75.79762926,0.85598706,0.93661697,0.89159562,0.59716599,0.17632174,0.00310445,1650,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,4,86.08032867,0.86084142,0.93858945,0.89563107,0.0,1.34100723,0.0,4325,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,4,86.08032864,0.86084142,0.93858945,0.89563107,0.54959514,0.18061996,0.00573635,925,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,5,8.97558263,0.83171521,0.92100917,0.875,0.0,0.12187982,0.0,500,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,5,8.97558263,0.83171521,0.92100917,0.875,0.49291498,0.11666989,0.00315619,650,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,5,9.67924952,0.82200647,0.91715596,0.87058824,0.0,0.11252952,0.0,400,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,5,9.67925016,0.82524272,0.91715596,0.86699507,0.46609312,0.1880722,0.00329423,1150,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,5,38.98667843,0.85113269,0.92799312,0.88613861,0.0,1.68322873,0.0,5550,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,5,38.98667854,0.85113269,0.92799312,0.88613861,0.57742915,0.15583038,0.00319242,1300,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,5,43.51145685,0.84142395,0.92652523,0.87780549,0.0,1.18396378,0.0,5625,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,5,43.51145697,0.84142395,0.92652523,0.87780549,0.53795547,0.20402575,0.00368214,1500,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,5,75.1472209,0.85275081,0.93020642,0.88751545,0.0,0.61604738,0.0,2975,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,5,75.1472209,0.85275081,0.93020642,0.88751545,0.60020243,0.18753219,0.00546408,850,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,5,84.94447317,0.83980583,0.92743119,0.8754717,0.0,1.260782,0.0,6075,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,5,84.94447124,0.83980583,0.92743119,0.8754717,0.55364372,0.18161559,0.00316811,1450,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,6,8.96766431,0.84789644,0.93502294,0.88480392,0.0,0.17825222,0.0,825,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,6,8.96766429,0.84789644,0.9350344,0.88480392,0.4944332,0.21683359,0.00339675,1625,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,6,9.67714342,0.83495146,0.93292431,0.87971698,0.0,0.23253226,0.0,1025,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,6,9.6771433,0.83495146,0.93292431,0.87971698,0.46305668,0.12550545,0.0032649,600,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,6,38.9575224,0.8381877,0.93576835,0.87775061,0.0,0.22213221,0.0,1025,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,6,38.95752194,0.8381877,0.93576835,0.87775061,0.57742915,0.09777951,0.00254965,550,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,6,43.5253324,0.85760518,0.9368578,0.89242054,0.0,0.44422317,0.0,1975,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,6,43.52533226,0.85760518,0.93686927,0.89242054,0.53846154,0.10970426,0.00324988,525,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,6,74.93198131,0.8381877,0.93488532,0.87714988,0.0,1.32167912,0.0,4475,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,6,74.93198027,0.8381877,0.93488532,0.87714988,0.60121457,0.17589092,0.0047195,1000,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,6,84.97159912,0.85436893,0.93707569,0.88721805,0.0,0.80722952,0.0,3775,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,6,84.9715979,0.85436893,0.93707569,0.88721805,0.55516194,0.1204648,0.00318909,725,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,7,8.93535527,0.82524272,0.92174312,0.86924939,0.0,0.18176103,0.0,850,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,7,8.93541891,0.82524272,0.92180046,0.86924939,0.49493927,0.06398153,0.00295305,200,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,7,9.64452178,0.81229773,0.91741972,0.8592233,0.0,0.19708753,0.0,800,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,7,9.64452174,0.81229773,0.91741972,0.8592233,0.46255061,0.55491281,0.02236891,600,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,7,38.83422297,0.84951456,0.93389908,0.88754534,0.0,0.12043047,0.0,500,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,7,38.83422338,0.84951456,0.93389908,0.88754534,0.57945344,0.18439889,0.00318813,1525,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,7,43.29393948,0.83656958,0.92854358,0.87576876,0.0,0.74850845,0.0,3550,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,7,43.29393926,0.83656958,0.92854358,0.87576876,0.54149798,0.24397779,0.0048945,1025,SUCCESS
