Dataset,Solver,WarmStart,C,Rho,ScreeningRate,Screen_Iterations,Baseline_Iterations,Iteration_Reduction_Ratio,OverheadTime_MeanStd,SolveTime_MeanStd,TotalScreeningTime_Mean_Std,Baseline_Time_Mean_Std,Speedup,p-value
phishing,CVXOPT,True,0.01,0.0,0.8169,4713,3220,-0.46,0.0168 ± 0.0061,1.5693 ± 0.3404,1.5861 ± 0.3425,5.2871 ± 4.4949,3.33x,1.863e-09
phishing,CVXOPT,True,0.01,0.05,0.8046,3610,1866,-0.93,0.0178 ± 0.0063,1.5211 ± 0.4821,1.5389 ± 0.4858,3.3589 ± 0.9100,2.18x,5.588e-09
phishing,CVXOPT,True,0.05,0.0,0.8311,5259,7061,0.26,0.0208 ± 0.0095,1.7127 ± 0.4009,1.7335 ± 0.4081,11.1435 ± 6.7065,6.43x,1.863e-09
phishing,CVXOPT,True,0.05,0.05,0.8190,3309,6847,0.52,0.0184 ± 0.0096,1.3531 ± 0.3524,1.3715 ± 0.3557,11.2567 ± 6.2423,8.21x,1.863e-09
phishing,CVXOPT,True,0.1,0.0,0.8328,6840,10647,0.36,0.0181 ± 0.0095,2.0842 ± 1.4315,2.1023 ± 1.4399,16.8468 ± 8.1138,8.01x,1.863e-09
phishing,CVXOPT,True,0.1,0.05,0.8046,4081,9941,0.59,0.0193 ± 0.0081,1.6472 ± 0.5934,1.6665 ± 0.5981,16.1560 ± 6.4796,9.69x,1.863e-09
phishing,SCS,False,0.01,0.0,0.8170,4656,3117,-0.49,0.0215 ± 0.0092,1.7126 ± 0.4753,1.7341 ± 0.4797,5.5520 ± 4.1306,3.20x,1.863e-09
phishing,SCS,False,0.01,0.05,0.8048,3554,1898,-0.87,0.0219 ± 0.0092,1.5710 ± 0.4930,1.5929 ± 0.4998,3.5030 ± 1.0039,2.20x,9.313e-09
phishing,SCS,False,0.05,0.0,0.8314,5486,6797,0.19,0.0201 ± 0.0062,1.7422 ± 0.4427,1.7623 ± 0.4459,11.9499 ± 7.0883,6.78x,1.863e-09
phishing,SCS,False,0.05,0.05,0.8193,3292,6988,0.53,0.0207 ± 0.0088,1.4240 ± 0.4289,1.4448 ± 0.4361,12.6167 ± 6.0784,8.73x,1.863e-09
phishing,SCS,False,0.1,0.0,0.8222,6848,10582,0.35,0.0222 ± 0.0094,2.2691 ± 1.5466,2.2913 ± 1.5546,18.5541 ± 9.1725,8.10x,1.863e-09
phishing,SCS,False,0.1,0.05,0.7950,3964,10114,0.61,0.0242 ± 0.0107,2.1616 ± 2.4383,2.1857 ± 2.4441,17.9103 ± 7.2235,8.19x,1.863e-09
phishing,SCS,True,0.01,0.0,0.8169,4674,3220,-0.45,0.0196 ± 0.0077,1.6680 ± 0.4725,1.6876 ± 0.4781,5.4325 ± 4.4903,3.22x,1.863e-09
phishing,SCS,True,0.01,0.05,0.8046,3784,1866,-1.03,0.0207 ± 0.0077,1.5712 ± 0.4215,1.5919 ± 0.4261,3.3801 ± 1.1636,2.12x,1.863e-09
phishing,SCS,True,0.05,0.0,0.8313,5232,7061,0.26,0.0218 ± 0.0084,1.7843 ± 0.3935,1.8061 ± 0.3981,11.5903 ± 6.8541,6.42x,1.863e-09
